"Step","_n_S_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_L6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_L6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_L6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_M6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_M6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_M6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_X6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_X6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_X6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_S6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_S6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_S6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_N6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_N6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_N6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX"
"0","0.00004199910043215539","0.00004199910043215539","0.00004199910043215539","0.00002096438980773508","0.00002096438980773508","0.00002096438980773508","0.00003605664908546242","0.00003605664908546242","0.00003605664908546242","0.000015447542623121345","0.000015447542623121345","0.000015447542623121345","0.00004861237950149015","0.00004861237950149015","0.00004861237950149015","0","0","0","0.000003443807588233066","0.000003443807588233066","0.000003443807588233066","0","0","0","0.0000011400956540675132","0.0000011400956540675132","0.0000011400956540675132","0","0","0"
"1","0.000039541373597751266","0.000039541373597751266","0.000039541373597751266","0.00004404241770735423","0.00004404241770735423","0.00004404241770735423","0.00007186543512996941","0.00007186543512996941","0.00007186543512996941","0.00003846005429167437","0.00003846005429167437","0.00003846005429167437","0.0000734066830258874","0.0000734066830258874","0.0000734066830258874","0.0000011695951316042286","0.0000011695951316042286","0.0000011695951316042286","0.0000011780815567246765","0.0000011780815567246765","0.0000011780815567246765","0.0000011461072450999737","0.0000011461072450999737","0.0000011461072450999737","0","0","0","0.0000011418741952771449","0.0000011418741952771449","0.0000011418741952771449"
"2","0.000047845029301591156","0.000047845029301591156","0.000047845029301591156","0.00005868238690925371","0.00005868238690925371","0.00005868238690925371","0.000027053707598443845","0.000027053707598443845","0.000027053707598443845","0.00008437480634525538","0.00008437480634525538","0.00008437480634525538","0.00007188023898685949","0.00007188023898685949","0.00007188023898685949","0.000015239590462444837","0.000015239590462444837","0.000015239590462444837","0.000005753700222233555","0.000005753700222233555","0.000005753700222233555","0.0000402985267438883","0.0000402985267438883","0.0000402985267438883","0.000001145994633477881","0.000001145994633477881","0.000001145994633477881","0.0000011482332186840495","0.0000011482332186840495","0.0000011482332186840495"
"3","0.00005536822758719744","0.00005536822758719744","0.00005536822758719744","0.016181294622713206","0.016181294622713206","0.016181294622713206","0.0004758052190496317","0.0004758052190496317","0.0004758052190496317","0.00014545862536798114","0.00014545862536798114","0.00014545862536798114","0.0004534239792861884","0.0004534239792861884","0.0004534239792861884","0.000034273723445209224","0.000034273723445209224","0.000034273723445209224","0.00009667064758552036","0.00009667064758552036","0.00009667064758552036","0.0002103184412178596","0.0002103184412178596","0.0002103184412178596","0","0","0","0.000006833962681342959","0.000006833962681342959","0.000006833962681342959"
"4","0.00006246346597010361","0.00006246346597010361","0.00006246346597010361","0.002213378253990794","0.002213378253990794","0.002213378253990794","0.001579711640533138","0.001579711640533138","0.001579711640533138","0.00009200294056726096","0.00009200294056726096","0.00009200294056726096","0.0015233933271624025","0.0015233933271624025","0.0015233933271624025","0.00019041034958318568","0.00019041034958318568","0.00019041034958318568","0.0005019974422395154","0.0005019974422395154","0.0005019974422395154","0.00004352134590043536","0.00004352134590043536","0.00004352134590043536","0.000018853822721227652","0.000018853822721227652","0.000018853822721227652","0.00004981459816455356","0.00004981459816455356","0.00004981459816455356"
"5","0.0005030407644163431","0.0005030407644163431","0.0005030407644163431","0.0031377457471358926","0.0031377457471358926","0.0031377457471358926","0.005358124852684494","0.005358124852684494","0.005358124852684494","0.00008021331619200277","0.00008021331619200277","0.00008021331619200277","0.0059109206935723845","0.0059109206935723845","0.0059109206935723845","0.00007064904398092296","0.00007064904398092296","0.00007064904398092296","0.000997683928755953","0.000997683928755953","0.000997683928755953","0","0","0","0.0004705197287304814","0.0004705197287304814","0.0004705197287304814","0.00007083582944391055","0.00007083582944391055","0.00007083582944391055"
"6","0.010699024172390725","0.010699024172390725","0.010699024172390725","0.0091816911964607","0.0091816911964607","0.0091816911964607","0.0002689805482960616","0.0002689805482960616","0.0002689805482960616","0.00019425575870827167","0.00019425575870827167","0.00019425575870827167","0.01888828208078959","0.01888828208078959","0.01888828208078959","0.0012796236212451026","0.0012796236212451026","0.0012796236212451026","0.0013209121357179662","0.0013209121357179662","0.0013209121357179662","0.0006108749782356037","0.0006108749782356037","0.0006108749782356037","0.0011111614779360979","0.0011111614779360979","0.0011111614779360979","0.00015441904847358096","0.00015441904847358096","0.00015441904847358096"
"7","0.001353255963049938","0.001353255963049938","0.001353255963049938","0.002661722309915765","0.002661722309915765","0.002661722309915765","0.011748576400015202","0.011748576400015202","0.011748576400015202","0.00012827037246333753","0.00012827037246333753","0.00012827037246333753","0.0052630244946474105","0.0052630244946474105","0.0052630244946474105","0.0006467743355500664","0.0006467743355500664","0.0006467743355500664","0.001000334966812505","0.001000334966812505","0.001000334966812505","0.00009007785365012219","0.00009007785365012219","0.00009007785365012219","0.0027545754296319893","0.0027545754296319893","0.0027545754296319893","0.0008104722987519057","0.0008104722987519057","0.0008104722987519057"
"8","0.0022365462591031958","0.0022365462591031958","0.0022365462591031958","0.000853037983281544","0.000853037983281544","0.000853037983281544","0.005975472234644492","0.005975472234644492","0.005975472234644492","0.00006720902483098526","0.00006720902483098526","0.00006720902483098526","0.0035047857238310366","0.0035047857238310366","0.0035047857238310366","0.0035181339979107914","0.0035181339979107914","0.0035181339979107914","0.0035783590030510144","0.0035783590030510144","0.0035783590030510144","0.00016639657283625334","0.00016639657283625334","0.00016639657283625334","0.002556456462487086","0.002556456462487086","0.002556456462487086","0.0007024022547653208","0.0007024022547653208","0.0007024022547653208"
"9","0.0021072851337980707","0.0021072851337980707","0.0021072851337980707","0.0001255127297038285","0.0001255127297038285","0.0001255127297038285","0.012330142517302111","0.012330142517302111","0.012330142517302111","0.00014862845757712472","0.00014862845757712472","0.00014862845757712472","0.0028656633044876","0.0028656633044876","0.0028656633044876","0.001509259485989021","0.001509259485989021","0.001509259485989021","0.008660348134261484","0.008660348134261484","0.008660348134261484","0.007606112340078041","0.007606112340078041","0.007606112340078041","0.0017643503140893613","0.0017643503140893613","0.0017643503140893613","0.00018827122913779432","0.00018827122913779432","0.00018827122913779432"
