"Step","_n_M_512_e500_b64_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b64_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b64_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b64_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b64_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b64_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b32_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b32_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b32_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b32_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b32_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b32_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b64_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b64_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b64_lr0.01_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b32_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b32_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b32_lr0.01_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MAX"
"0","0.00003058938255737875","0.00003058938255737875","0.00003058938255737875","0.000018234921418885597","0.000018234921418885597","0.000018234921418885597","0.00002867652450394585","0.00002867652450394585","0.00002867652450394585","0.000015699176385043405","0.000015699176385043405","0.000015699176385043405","0.0000379868215811184","0.0000379868215811184","0.0000379868215811184","0.00004651313263945285","0.00004651313263945285","0.00004651313263945285","0.00001203086282005127","0.00001203086282005127","0.00001203086282005127","0.000013063955233515993","0.000013063955233515993","0.000013063955233515993","0.00004861237950149015","0.00004861237950149015","0.00004861237950149015"
"1","0.000022648848786158743","0.000022648848786158743","0.000022648848786158743","0.00003335264530566764","0.00003335264530566764","0.00003335264530566764","0.00010100850477864346","0.00010100850477864346","0.00010100850477864346","0.000010266549076248522","0.000010266549076248522","0.000010266549076248522","0.00007500327331928618","0.00007500327331928618","0.00007500327331928618","0.00008093564223507397","0.00008093564223507397","0.00008093564223507397","0.00001886458337259156","0.00001886458337259156","0.00001886458337259156","0.000050520926478008275","0.000050520926478008275","0.000050520926478008275","0.0000734066830258874","0.0000734066830258874","0.0000734066830258874"
"2","0.0000806023743851865","0.0000806023743851865","0.0000806023743851865","0.000021431442774490458","0.000021431442774490458","0.000021431442774490458","0.00005080769331739667","0.00005080769331739667","0.00005080769331739667","0.00007660707741108093","0.00007660707741108093","0.00007660707741108093","0.00007195622780650546","0.00007195622780650546","0.00007195622780650546","0.00004368456098812756","0.00004368456098812756","0.00004368456098812756","0.0000516322803983768","0.0000516322803983768","0.0000516322803983768","0.00006845633412816392","0.00006845633412816392","0.00006845633412816392","0.00007188023898685949","0.00007188023898685949","0.00007188023898685949"
"3","0.000054750388038141044","0.000054750388038141044","0.000054750388038141044","0.00004727186054660446","0.00004727186054660446","0.00004727186054660446","0.00004778417426698851","0.00004778417426698851","0.00004778417426698851","0.00006588297343907971","0.00006588297343907971","0.00006588297343907971","0.00002754972597601801","0.00002754972597601801","0.00002754972597601801","0.00011943512558970706","0.00011943512558970706","0.00011943512558970706","0.000044162385969343375","0.000044162385969343375","0.000044162385969343375","0.00005454238427331948","0.00005454238427331948","0.00005454238427331948","0.0004534239792861884","0.0004534239792861884","0.0004534239792861884"
"4","0.000027274188711878518","0.000027274188711878518","0.000027274188711878518","0.000023358043446926316","0.000023358043446926316","0.000023358043446926316","0.00008141011105225147","0.00008141011105225147","0.00008141011105225147","0.00045058233866768324","0.00045058233866768324","0.00045058233866768324","0.00014235826735826742","0.00014235826735826742","0.00014235826735826742","0.0008923663456788034","0.0008923663456788034","0.0008923663456788034","0.000038485559722202874","0.000038485559722202874","0.000038485559722202874","0.00015480064864791324","0.00015480064864791324","0.00015480064864791324","0.0015233933271624025","0.0015233933271624025","0.0015233933271624025"
"5","0.00010274434394820854","0.00010274434394820854","0.00010274434394820854","0.00016558874723783334","0.00016558874723783334","0.00016558874723783334","0.0000750158145577443","0.0000750158145577443","0.0000750158145577443","0.00031912202874821304","0.00031912202874821304","0.00031912202874821304","0.006457452011253378","0.006457452011253378","0.006457452011253378","0.000913654957490996","0.000913654957490996","0.000913654957490996","0.000044861420163535586","0.000044861420163535586","0.000044861420163535586","0.0006047895396140179","0.0006047895396140179","0.0006047895396140179","0.0059109206935723845","0.0059109206935723845","0.0059109206935723845"
"6","0.00010239445552907443","0.00010239445552907443","0.00010239445552907443","0.00031897848648693855","0.00031897848648693855","0.00031897848648693855","0.0003159307790282435","0.0003159307790282435","0.0003159307790282435","0.0014662933044060872","0.0014662933044060872","0.0014662933044060872","0.004241322796253852","0.004241322796253852","0.004241322796253852","0","0","0","0.00011352008940899694","0.00011352008940899694","0.00011352008940899694","0.0005613976388969745","0.0005613976388969745","0.0005613976388969745","0.01888828208078959","0.01888828208078959","0.01888828208078959"
"7","0.002536656799755113","0.002536656799755113","0.002536656799755113","0.0015003106410748624","0.0015003106410748624","0.0015003106410748624","0.0003614774163138697","0.0003614774163138697","0.0003614774163138697","0.000037869535133934364","0.000037869535133934364","0.000037869535133934364","0.002460993436188969","0.002460993436188969","0.002460993436188969","0.0025709753854749884","0.0025709753854749884","0.0025709753854749884","0.00020679790801745421","0.00020679790801745421","0.00020679790801745421","0.001606424948136757","0.001606424948136757","0.001606424948136757","0.0052630244946474105","0.0052630244946474105","0.0052630244946474105"
"8","0.0004574558539656128","0.0004574558539656128","0.0004574558539656128","0.0019034687432318298","0.0019034687432318298","0.0019034687432318298","0.00036837697884794943","0.00036837697884794943","0.00036837697884794943","0.002655572200324229","0.002655572200324229","0.002655572200324229","0.0018787488593396877","0.0018787488593396877","0.0018787488593396877","0.0009657822099450223","0.0009657822099450223","0.0009657822099450223","0.0002641756720486062","0.0002641756720486062","0.0002641756720486062","0.0012357031982690493","0.0012357031982690493","0.0012357031982690493","0.0035047857238310366","0.0035047857238310366","0.0035047857238310366"
"9","0.0010191002635473226","0.0010191002635473226","0.0010191002635473226","0.0020051605200205845","0.0020051605200205845","0.0020051605200205845","0.0003358326641619511","0.0003358326641619511","0.0003358326641619511","0.0011961956549400873","0.0011961956549400873","0.0011961956549400873","0.001103742691025249","0.001103742691025249","0.001103742691025249","0.0031548480705146423","0.0031548480705146423","0.0031548480705146423","0.0023414572770427853","0.0023414572770427853","0.0023414572770427853","0.00809364227202172","0.00809364227202172","0.00809364227202172","0.0028656633044876","0.0028656633044876","0.0028656633044876"
