"Step","_n_S_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_X_1024_e500_b8_lr0.01_1 (1024) - metrics/mAP_0.5","_n_X_1024_e500_b8_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_X_1024_e500_b8_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_L_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_L_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_L_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_S_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_S_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_S_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_M_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_M_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_M_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_N_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_N_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_N_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX"
"0","0.00004199910043215539","0.00004199910043215539","0.00004199910043215539","0.00002096438980773508","0.00002096438980773508","0.00002096438980773508","0.00003605664908546242","0.00003605664908546242","0.00003605664908546242","0.000015447542623121345","0.000015447542623121345","0.000015447542623121345","0.00004861237950149015","0.00004861237950149015","0.00004861237950149015","0.000054053311518745985","0.000054053311518745985","0.000054053311518745985","0.00011652026892778366","0.00011652026892778366","0.00011652026892778366","0.00010947480933748131","0.00010947480933748131","0.00010947480933748131","0.00011051772247132091","0.00011051772247132091","0.00011051772247132091","0.00005636029262252259","0.00005636029262252259","0.00005636029262252259"
"1","0.000039541373597751266","0.000039541373597751266","0.000039541373597751266","0.00004404241770735423","0.00004404241770735423","0.00004404241770735423","0.00007186543512996941","0.00007186543512996941","0.00007186543512996941","0.00003846005429167437","0.00003846005429167437","0.00003846005429167437","0.0000734066830258874","0.0000734066830258874","0.0000734066830258874","0.00015755809929257218","0.00015755809929257218","0.00015755809929257218","0.0002529946834655657","0.0002529946834655657","0.0002529946834655657","0.00016675740513544634","0.00016675740513544634","0.00016675740513544634","0.00012886320815302577","0.00012886320815302577","0.00012886320815302577","0.00026410495494049867","0.00026410495494049867","0.00026410495494049867"
"2","0.000047845029301591156","0.000047845029301591156","0.000047845029301591156","0.00005868238690925371","0.00005868238690925371","0.00005868238690925371","0.000027053707598443845","0.000027053707598443845","0.000027053707598443845","0.00008437480634525538","0.00008437480634525538","0.00008437480634525538","0.00007188023898685949","0.00007188023898685949","0.00007188023898685949","0.00004134775144219129","0.00004134775144219129","0.00004134775144219129","0.003910493193788904","0.003910493193788904","0.003910493193788904","0.00023753279065824977","0.00023753279065824977","0.00023753279065824977","0.0001944242785383664","0.0001944242785383664","0.0001944242785383664","0","0","0"
"3","0.00005536822758719744","0.00005536822758719744","0.00005536822758719744","0.016181294622713206","0.016181294622713206","0.016181294622713206","0.0004758052190496317","0.0004758052190496317","0.0004758052190496317","0.00014545862536798114","0.00014545862536798114","0.00014545862536798114","0.0004534239792861884","0.0004534239792861884","0.0004534239792861884","0.0007830131081617317","0.0007830131081617317","0.0007830131081617317","0.004379073447630519","0.004379073447630519","0.004379073447630519","0","0","0","0","0","0","0","0","0"
"4","0.00006246346597010361","0.00006246346597010361","0.00006246346597010361","0.002213378253990794","0.002213378253990794","0.002213378253990794","0.001579711640533138","0.001579711640533138","0.001579711640533138","0.00009200294056726096","0.00009200294056726096","0.00009200294056726096","0.0015233933271624025","0.0015233933271624025","0.0015233933271624025","0.00013353416290338082","0.00013353416290338082","0.00013353416290338082","0.0004456045611606949","0.0004456045611606949","0.0004456045611606949","0","0","0","0.0008839767331091102","0.0008839767331091102","0.0008839767331091102","0","0","0"
"5","0.0005030407644163431","0.0005030407644163431","0.0005030407644163431","0.0031377457471358926","0.0031377457471358926","0.0031377457471358926","0.005358124852684494","0.005358124852684494","0.005358124852684494","0.00008021331619200277","0.00008021331619200277","0.00008021331619200277","0.0059109206935723845","0.0059109206935723845","0.0059109206935723845","0.016906967111021697","0.016906967111021697","0.016906967111021697","0.001624290557002848","0.001624290557002848","0.001624290557002848","0","0","0","0.000332047337855469","0.000332047337855469","0.000332047337855469","0","0","0"
"6","0.010699024172390725","0.010699024172390725","0.010699024172390725","0.0091816911964607","0.0091816911964607","0.0091816911964607","0.0002689805482960616","0.0002689805482960616","0.0002689805482960616","0.00019425575870827167","0.00019425575870827167","0.00019425575870827167","0.01888828208078959","0.01888828208078959","0.01888828208078959","0.012579626188750696","0.012579626188750696","0.012579626188750696","0.00226026840528907","0.00226026840528907","0.00226026840528907","0","0","0","0.005177901798335351","0.005177901798335351","0.005177901798335351","0","0","0"
"7","0.001353255963049938","0.001353255963049938","0.001353255963049938","0.002661722309915765","0.002661722309915765","0.002661722309915765","0.011748576400015202","0.011748576400015202","0.011748576400015202","0.00012827037246333753","0.00012827037246333753","0.00012827037246333753","0.0052630244946474105","0.0052630244946474105","0.0052630244946474105","0.002194412463891055","0.002194412463891055","0.002194412463891055","0.0071832887974099795","0.0071832887974099795","0.0071832887974099795","0","0","0","0.005193980388480156","0.005193980388480156","0.005193980388480156","0","0","0"
"8","0.0022365462591031958","0.0022365462591031958","0.0022365462591031958","0.000853037983281544","0.000853037983281544","0.000853037983281544","0.005975472234644492","0.005975472234644492","0.005975472234644492","0.00006720902483098526","0.00006720902483098526","0.00006720902483098526","0.0035047857238310366","0.0035047857238310366","0.0035047857238310366","0.004681621699190804","0.004681621699190804","0.004681621699190804","0.011101589214648494","0.011101589214648494","0.011101589214648494","0.00012032711368458673","0.00012032711368458673","0.00012032711368458673","0.017342455747013784","0.017342455747013784","0.017342455747013784","0.0001851998116148251","0.0001851998116148251","0.0001851998116148251"
"9","0.0021072851337980707","0.0021072851337980707","0.0021072851337980707","0.0001255127297038285","0.0001255127297038285","0.0001255127297038285","0.012330142517302111","0.012330142517302111","0.012330142517302111","0.00014862845757712472","0.00014862845757712472","0.00014862845757712472","0.0028656633044876","0.0028656633044876","0.0028656633044876","0.01459465977172496","0.01459465977172496","0.01459465977172496","0.0035630411189132823","0.0035630411189132823","0.0035630411189132823","0","0","0","0.023590919919964454","0.023590919919964454","0.023590919919964454","0","0","0"
