"Step","_n_M_512_e500_b16_lr0.001_4 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.001_4 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.001_4 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0005_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0005_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0005_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0005_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0005_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0005_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.005_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.005_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.005_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.005_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.005_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.005_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0001_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0001_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0001_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0001_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0001_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0001_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.001_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.001_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.001_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.001_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.001_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.001_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0005_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0005_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0005_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.005_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.005_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.005_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.0001_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.0001_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.0001_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MAX"
"0","0.00001201388576382269","0.00001201388576382269","0.00001201388576382269","0.00001653259712239134","0.00001653259712239134","0.00001653259712239134","0.000009466813397197343","0.000009466813397197343","0.000009466813397197343","0.000030103013900324163","0.000030103013900324163","0.000030103013900324163","0.00002436090926195001","0.00002436090926195001","0.00002436090926195001","0.000014024535462114954","0.000014024535462114954","0.000014024535462114954","0.000012021983888889466","0.000012021983888889466","0.000012021983888889466","0.000025292279770976257","0.000025292279770976257","0.000025292279770976257","0.000025292279770976257","0.000025292279770976257","0.000025292279770976257","0.000024333133613519702","0.000024333133613519702","0.000024333133613519702","0.00011549255911815512","0.00011549255911815512","0.00011549255911815512","0.000012829751779929367","0.000012829751779929367","0.000012829751779929367","0.00004435158014666891","0.00004435158014666891","0.00004435158014666891","0.000020489960988579843","0.000020489960988579843","0.000020489960988579843","0.00004861237950149015","0.00004861237950149015","0.00004861237950149015"
"1","0.00004207649888296052","0.00004207649888296052","0.00004207649888296052","0.000014071611550994918","0.000014071611550994918","0.000014071611550994918","0.000014059920824278043","0.000014059920824278043","0.000014059920824278043","0.00004560443120260069","0.00004560443120260069","0.00004560443120260069","0.00006325101284204964","0.00006325101284204964","0.00006325101284204964","0.00005110361078424022","0.00005110361078424022","0.00005110361078424022","0.00001172181386339484","0.00001172181386339484","0.00001172181386339484","0.000011973103287614823","0.000011973103287614823","0.000011973103287614823","0.00002875867928288317","0.00002875867928288317","0.00002875867928288317","0.00007168491906745972","0.00007168491906745972","0.00007168491906745972","0.00008422121367867926","0.00008422121367867926","0.00008422121367867926","0.000031957061215559625","0.000031957061215559625","0.000031957061215559625","0.000026600525059540262","0.000026600525059540262","0.000026600525059540262","0.000024203289662621717","0.000024203289662621717","0.000024203289662621717","0.0000734066830258874","0.0000734066830258874","0.0000734066830258874"
"2","0.000041330503569427326","0.000041330503569427326","0.000041330503569427326","0.0000070378450309181565","0.0000070378450309181565","0.0000070378450309181565","0.0000325018630458957","0.0000325018630458957","0.0000325018630458957","0.00003280563000230401","0.00003280563000230401","0.00003280563000230401","0.00005042328596144089","0.00005042328596144089","0.00005042328596144089","0.000008198955643791406","0.000008198955643791406","0.000008198955643791406","0.000030033330885530078","0.000030033330885530078","0.000030033330885530078","0.000036190102623534546","0.000036190102623534546","0.000036190102623534546","0.00003220046597810112","0.00003220046597810112","0.00003220046597810112","0.00008798269339348282","0.00008798269339348282","0.00008798269339348282","0.00007731104414965704","0.00007731104414965704","0.00007731104414965704","0.00003092048628183925","0.00003092048628183925","0.00003092048628183925","0.00005054866616500639","0.00005054866616500639","0.00005054866616500639","0.000026136888167211433","0.000026136888167211433","0.000026136888167211433","0.00007188023898685949","0.00007188023898685949","0.00007188023898685949"
"3","0.000023997103925142408","0.000023997103925142408","0.000023997103925142408","0.00002102270547381266","0.00002102270547381266","0.00002102270547381266","0.000021585421248141205","0.000021585421248141205","0.000021585421248141205","0.00003853445125687862","0.00003853445125687862","0.00003853445125687862","0.000027668924685133575","0.000027668924685133575","0.000027668924685133575","0.000034425847154182575","0.000034425847154182575","0.000034425847154182575","0.000019020505808998778","0.000019020505808998778","0.000019020505808998778","0.00002838706656859921","0.00002838706656859921","0.00002838706656859921","0.00003911232090858548","0.00003911232090858548","0.00003911232090858548","0","0","0","0.000130992470694099","0.000130992470694099","0.000130992470694099","0.000021607235508597024","0.000021607235508597024","0.000021607235508597024","0.00003681178259616904","0.00003681178259616904","0.00003681178259616904","0.000017887770606178823","0.000017887770606178823","0.000017887770606178823","0.0004534239792861884","0.0004534239792861884","0.0004534239792861884"
"4","0.00005236530956130051","0.00005236530956130051","0.00005236530956130051","0.00002351237488670465","0.00002351237488670465","0.00002351237488670465","0.00003722373066398928","0.00003722373066398928","0.00003722373066398928","0.00012927493580108216","0.00012927493580108216","0.00012927493580108216","0.0001776840621188489","0.0001776840621188489","0.0001776840621188489","0.0000363785787413796","0.0000363785787413796","0.0000363785787413796","0.00003483763528152334","0.00003483763528152334","0.00003483763528152334","0.00004586394196271033","0.00004586394196271033","0.00004586394196271033","0.00007788042897025829","0.00007788042897025829","0.00007788042897025829","0","0","0","0.000643697129396611","0.000643697129396611","0.000643697129396611","0.000057264244814726027","0.000057264244814726027","0.000057264244814726027","0.0006243918086913373","0.0006243918086913373","0.0006243918086913373","0.00002131447868755006","0.00002131447868755006","0.00002131447868755006","0.0015233933271624025","0.0015233933271624025","0.0015233933271624025"
"5","0.00010784621663814613","0.00010784621663814613","0.00010784621663814613","0.00006117517608731293","0.00006117517608731293","0.00006117517608731293","0.00009399312316514425","0.00009399312316514425","0.00009399312316514425","0.001267292233435978","0.001267292233435978","0.001267292233435978","0.002060001636254397","0.002060001636254397","0.002060001636254397","0.000025510933204500337","0.000025510933204500337","0.000025510933204500337","0.000037540181369521984","0.000037540181369521984","0.000037540181369521984","0.00007113752964381084","0.00007113752964381084","0.00007113752964381084","0.00009662030792276859","0.00009662030792276859","0.00009662030792276859","0.00004962754303485768","0.00004962754303485768","0.00004962754303485768","0.0031988301922830044","0.0031988301922830044","0.0031988301922830044","0.00007094738235248348","0.00007094738235248348","0.00007094738235248348","0.0009714834367962266","0.0009714834367962266","0.0009714834367962266","0.000021535783158551982","0.000021535783158551982","0.000021535783158551982","0.0059109206935723845","0.0059109206935723845","0.0059109206935723845"
"6","0.00008273470245851567","0.00008273470245851567","0.00008273470245851567","0.000025872003752362975","0.000025872003752362975","0.000025872003752362975","0.000039564246687559814","0.000039564246687559814","0.000039564246687559814","0.0026976712459252567","0.0026976712459252567","0.0026976712459252567","0.0008229619254450431","0.0008229619254450431","0.0008229619254450431","0.000028781821363867577","0.000028781821363867577","0.000028781821363867577","0.00005039673766711005","0.00005039673766711005","0.00005039673766711005","0.00009155637885520192","0.00009155637885520192","0.00009155637885520192","0.0001885414402570972","0.0001885414402570972","0.0001885414402570972","0.00005819950555474214","0.00005819950555474214","0.00005819950555474214","0.0009430405563875968","0.0009430405563875968","0.0009430405563875968","0.000035594027362602","0.000035594027362602","0.000035594027362602","0.0025106677377261443","0.0025106677377261443","0.0025106677377261443","0.00003559981827112954","0.00003559981827112954","0.00003559981827112954","0.01888828208078959","0.01888828208078959","0.01888828208078959"
"7","0.00014246011611028132","0.00014246011611028132","0.00014246011611028132","0.0000718944729584135","0.0000718944729584135","0.0000718944729584135","0.000057713128225469726","0.000057713128225469726","0.000057713128225469726","0.0021405578296252482","0.0021405578296252482","0.0021405578296252482","0.002591894609047644","0.002591894609047644","0.002591894609047644","0.000043651142059273896","0.000043651142059273896","0.000043651142059273896","0.00006238421393898658","0.00006238421393898658","0.00006238421393898658","0.0005044440231966917","0.0005044440231966917","0.0005044440231966917","0.000988419107274578","0.000988419107274578","0.000988419107274578","0.00005624894405388122","0.00005624894405388122","0.00005624894405388122","0.0014937888176062984","0.0014937888176062984","0.0014937888176062984","0.00006094854345510866","0.00006094854345510866","0.00006094854345510866","0.0023811334468662815","0.0023811334468662815","0.0023811334468662815","0.00004011333834321952","0.00004011333834321952","0.00004011333834321952","0.0052630244946474105","0.0052630244946474105","0.0052630244946474105"
"8","0.0010770276617098628","0.0010770276617098628","0.0010770276617098628","0.00015809992440674124","0.00015809992440674124","0.00015809992440674124","0.00010776973259487123","0.00010776973259487123","0.00010776973259487123","0.0012791655394384423","0.0012791655394384423","0.0012791655394384423","0.003759989120777462","0.003759989120777462","0.003759989120777462","0.00003854161804111023","0.00003854161804111023","0.00003854161804111023","0.00004237205538731223","0.00004237205538731223","0.00004237205538731223","0.0028138542059733956","0.0028138542059733956","0.0028138542059733956","0.0008446926704673709","0.0008446926704673709","0.0008446926704673709","0.00014013767347816015","0.00014013767347816015","0.00014013767347816015","0.0015413305452679107","0.0015413305452679107","0.0015413305452679107","0.00008874513831373224","0.00008874513831373224","0.00008874513831373224","0.0030501580467487822","0.0030501580467487822","0.0030501580467487822","0.00003441453546818659","0.00003441453546818659","0.00003441453546818659","0.0035047857238310366","0.0035047857238310366","0.0035047857238310366"
"9","0.0018042636843576888","0.0018042636843576888","0.0018042636843576888","0.00035290378706005586","0.00035290378706005586","0.00035290378706005586","0.00017762805154028592","0.00017762805154028592","0.00017762805154028592","0.007067934263872701","0.007067934263872701","0.007067934263872701","0.0023355772232034402","0.0023355772232034402","0.0023355772232034402","0.000052902213635854364","0.000052902213635854364","0.000052902213635854364","0.00005477131450478187","0.00005477131450478187","0.00005477131450478187","0.0015369880224237404","0.0015369880224237404","0.0015369880224237404","0.0035283089755602836","0.0035283089755602836","0.0035283089755602836","0.0001258717218734619","0.0001258717218734619","0.0001258717218734619","0.001973778787093767","0.001973778787093767","0.001973778787093767","0.0001092499708744293","0.0001092499708744293","0.0001092499708744293","0.005869663334749509","0.005869663334749509","0.005869663334749509","0.00006484993055030157","0.00006484993055030157","0.00006484993055030157","0.0028656633044876","0.0028656633044876","0.0028656633044876"
