"Step","_n_S_512_e500_b16_lr0.01_2 (S) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_2 (S) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_2 (S) - metrics/mAP_0.5__MAX","_n_S_512_e500_b16_lr0.01_3 (S) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_3 (S) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_3 (S) - metrics/mAP_0.5__MAX","_n_S_512_e500_b16_lr0.01_1 (S) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_1 (S) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_1 (S) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_3 (N) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_3 (N) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_3 (N) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_2 (N) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_2 (N) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_2 (N) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_1 (N) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_1 (N) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_1 (N) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_3 (M) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_3 (M) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_3 (M) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_2 (M) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_2 (M) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_2 (M) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 (M) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 (M) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 (M) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_3 (L) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_3 (L) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_3 (L) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_2 (L) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_2 (L) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_2 (L) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_1 (L) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_1 (L) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_1 (L) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_3 (X) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_3 (X) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_3 (X) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_2 (X) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_2 (X) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_2 (X) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_1 (X) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_1 (X) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_1 (X) - metrics/mAP_0.5__MAX"
"0","0.00003740806228614157","0.00003740806228614157","0.00003740806228614157","0.000020242189507120588","0.000020242189507120588","0.000020242189507120588","0.00004199910043215539","0.00004199910043215539","0.00004199910043215539","0.00001043996344413332","0.00001043996344413332","0.00001043996344413332","0.000010602856181691033","0.000010602856181691033","0.000010602856181691033","0.000011200641839458336","0.000006953741055795325","0.000015447542623121345","0.000024333133613519702","0.000024333133613519702","0.000024333133613519702","0.00011549255911815512","0.00011549255911815512","0.00011549255911815512","0.00004861237950149015","0.00004861237950149015","0.00004861237950149015","0.0000313534111256201","0.0000313534111256201","0.0000313534111256201","0.00004123485520044706","0.00004123485520044706","0.00004123485520044706","0.00003605664908546242","0.00003605664908546242","0.00003605664908546242","0.00005899436605102745","0.00005899436605102745","0.00005899436605102745","0.000028146216092725204","0.000028146216092725204","0.000028146216092725204","0.00002096438980773508","0.00002096438980773508","0.00002096438980773508"
"1","0.000029765540748967143","0.000029765540748967143","0.000029765540748967143","0.00005729492672845252","0.00005729492672845252","0.00005729492672845252","0.000039541373597751266","0.000039541373597751266","0.000039541373597751266","0.00007106629072351942","0.00007106629072351942","0.00007106629072351942","0.00003276660845357304","0.00003276660845357304","0.00003276660845357304","0.000024842616426195485","0.0000112251785607166","0.00003846005429167437","0.00007168491906745972","0.00007168491906745972","0.00007168491906745972","0.00008422121367867926","0.00008422121367867926","0.00008422121367867926","0.0000734066830258874","0.0000734066830258874","0.0000734066830258874","0.000045017815675106945","0.000045017815675106945","0.000045017815675106945","0.00006375802308341189","0.00006375802308341189","0.00006375802308341189","0.00007186543512996941","0.00007186543512996941","0.00007186543512996941","0.000052503076108891815","0.000052503076108891815","0.000052503076108891815","0.000056429958643431995","0.000056429958643431995","0.000056429958643431995","0.00004404241770735423","0.00004404241770735423","0.00004404241770735423"
"2","0.0000767516058680943","0.0000767516058680943","0.0000767516058680943","0.00004614873896219905","0.00004614873896219905","0.00004614873896219905","0.000047845029301591156","0.000047845029301591156","0.000047845029301591156","0.00001745848066458524","0.00001745848066458524","0.00001745848066458524","0.00002222420113469254","0.00002222420113469254","0.00002222420113469254","0.00009390007081716628","0.00008437480634525538","0.00010342533528907718","0.00008798269339348282","0.00008798269339348282","0.00008798269339348282","0.00007731104414965704","0.00007731104414965704","0.00007731104414965704","0.00007188023898685949","0.00007188023898685949","0.00007188023898685949","0.00005781697454770536","0.00005781697454770536","0.00005781697454770536","0.0026817001189965318","0.0026817001189965318","0.0026817001189965318","0.000027053707598443845","0.000027053707598443845","0.000027053707598443845","0.00017679936224469165","0.00017679936224469165","0.00017679936224469165","0.0000460956138590728","0.0000460956138590728","0.0000460956138590728","0.00005868238690925371","0.00005868238690925371","0.00005868238690925371"
"3","0.00007560119477603667","0.00007560119477603667","0.00007560119477603667","0.000050069501305212434","0.000050069501305212434","0.000050069501305212434","0.00005536822758719744","0.00005536822758719744","0.00005536822758719744","0.0001353028075867052","0.0001353028075867052","0.0001353028075867052","0.00008514115877825492","0.00008514115877825492","0.00008514115877825492","0.00013357517281619376","0.00012169172026440637","0.00014545862536798114","0","0","0","0.000130992470694099","0.000130992470694099","0.000130992470694099","0.0004534239792861884","0.0004534239792861884","0.0004534239792861884","0.001267409071909364","0.001267409071909364","0.001267409071909364","0.00043132394771703306","0.00043132394771703306","0.00043132394771703306","0.0004758052190496317","0.0004758052190496317","0.0004758052190496317","0.0032132083480638208","0.0032132083480638208","0.0032132083480638208","0.00008238143540754656","0.00008238143540754656","0.00008238143540754656","0.016181294622713206","0.016181294622713206","0.016181294622713206"
"4","0.000479527383165709","0.000479527383165709","0.000479527383165709","0.00002471040817586796","0.00002471040817586796","0.00002471040817586796","0.00006246346597010361","0.00006246346597010361","0.00006246346597010361","0.00002881617410257762","0.00002881617410257762","0.00002881617410257762","0","0","0","0.00007717060338529962","0.00006233826620333826","0.00009200294056726096","0","0","0","0.000643697129396611","0.000643697129396611","0.000643697129396611","0.0015233933271624025","0.0015233933271624025","0.0015233933271624025","0.001534785495406445","0.001534785495406445","0.001534785495406445","0.0015000623817919526","0.0015000623817919526","0.0015000623817919526","0.001579711640533138","0.001579711640533138","0.001579711640533138","0.00107875332060724","0.00107875332060724","0.00107875332060724","0","0","0","0.002213378253990794","0.002213378253990794","0.002213378253990794"
"5","0.0007798414320874415","0.0007798414320874415","0.0007798414320874415","0.0013513090815840038","0.0013513090815840038","0.0013513090815840038","0.0005030407644163431","0.0005030407644163431","0.0005030407644163431","0.00008429908226930588","0.00008429908226930588","0.00008429908226930588","0","0","0","0.0000539006985200491","0.000027588080848095424","0.00008021331619200277","0.00004962754303485768","0.00004962754303485768","0.00004962754303485768","0.0031988301922830044","0.0031988301922830044","0.0031988301922830044","0.0059109206935723845","0.0059109206935723845","0.0059109206935723845","0.007350007583886309","0.007350007583886309","0.007350007583886309","0.0014013000202858243","0.0014013000202858243","0.0014013000202858243","0.005358124852684494","0.005358124852684494","0.005358124852684494","0.01132389139474296","0.01132389139474296","0.01132389139474296","0.0004716703604769276","0.0004716703604769276","0.0004716703604769276","0.0031377457471358926","0.0031377457471358926","0.0031377457471358926"
"6","0.0059193128214008635","0.0059193128214008635","0.0059193128214008635","0.004484445326175066","0.004484445326175066","0.004484445326175066","0.010699024172390725","0.010699024172390725","0.010699024172390725","0.00009607110002741061","0.00009607110002741061","0.00009607110002741061","0","0","0","0.00009712787935413583","0","0.00019425575870827167","0.00005819950555474214","0.00005819950555474214","0.00005819950555474214","0.0009430405563875968","0.0009430405563875968","0.0009430405563875968","0.01888828208078959","0.01888828208078959","0.01888828208078959","0.0003330794797199851","0.0003330794797199851","0.0003330794797199851","0.0025298059608146605","0.0025298059608146605","0.0025298059608146605","0.0002689805482960616","0.0002689805482960616","0.0002689805482960616","0.00003803175702034369","0.00003803175702034369","0.00003803175702034369","0.003607582003552032","0.003607582003552032","0.003607582003552032","0.0091816911964607","0.0091816911964607","0.0091816911964607"
"7","0.007577506494828027","0.007577506494828027","0.007577506494828027","0.00807320491143508","0.00807320491143508","0.00807320491143508","0.001353255963049938","0.001353255963049938","0.001353255963049938","0.00012607125065028976","0.00012607125065028976","0.00012607125065028976","0.00004410117565051889","0.00004410117565051889","0.00004410117565051889","0.0001947131960726488","0.00012827037246333753","0.0002611560196819601","0.00005624894405388122","0.00005624894405388122","0.00005624894405388122","0.0014937888176062984","0.0014937888176062984","0.0014937888176062984","0.0052630244946474105","0.0052630244946474105","0.0052630244946474105","0.005279572001020432","0.005279572001020432","0.005279572001020432","0.015375198246419596","0.015375198246419596","0.015375198246419596","0.011748576400015202","0.011748576400015202","0.011748576400015202","0.0017326090202352223","0.0017326090202352223","0.0017326090202352223","0.001607290388328137","0.001607290388328137","0.001607290388328137","0.002661722309915765","0.002661722309915765","0.002661722309915765"
"8","0.0029777299673448172","0.0029777299673448172","0.0029777299673448172","0.00934233049594697","0.00934233049594697","0.00934233049594697","0.0022365462591031958","0.0022365462591031958","0.0022365462591031958","0.0005227759731560322","0.0005227759731560322","0.0005227759731560322","0.0002597352903078691","0.0002597352903078691","0.0002597352903078691","0.00010993175687500367","0.00006720902483098526","0.00015265448891902208","0.00014013767347816015","0.00014013767347816015","0.00014013767347816015","0.0015413305452679107","0.0015413305452679107","0.0015413305452679107","0.0035047857238310366","0.0035047857238310366","0.0035047857238310366","0.01600600812380933","0.01600600812380933","0.01600600812380933","0.0064189604258313325","0.0064189604258313325","0.0064189604258313325","0.005975472234644492","0.005975472234644492","0.005975472234644492","0.008405763324930166","0.008405763324930166","0.008405763324930166","0.0014305031295587139","0.0014305031295587139","0.0014305031295587139","0.000853037983281544","0.000853037983281544","0.000853037983281544"
"9","0.0032831725118785855","0.0032831725118785855","0.0032831725118785855","0.0020642446266917604","0.0020642446266917604","0.0020642446266917604","0.0021072851337980707","0.0021072851337980707","0.0021072851337980707","0.00020365679765746786","0.00020365679765746786","0.00020365679765746786","0.0010740998477306114","0.0010740998477306114","0.0010740998477306114","0.0002830336803105985","0.00014862845757712472","0.0004174389030440723","0.0001258717218734619","0.0001258717218734619","0.0001258717218734619","0.001973778787093767","0.001973778787093767","0.001973778787093767","0.0028656633044876","0.0028656633044876","0.0028656633044876","0.0062074489630627285","0.0062074489630627285","0.0062074489630627285","0.005956141150578721","0.005956141150578721","0.005956141150578721","0.012330142517302111","0.012330142517302111","0.012330142517302111","0.0033276583718360544","0.0033276583718360544","0.0033276583718360544","0.0006063050453157138","0.0006063050453157138","0.0006063050453157138","0.0001255127297038285","0.0001255127297038285","0.0001255127297038285"
