"Step","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MAX"
"0","0.00002771740208814132","0.00002771740208814132","0.00002771740208814132","0.00004452207241246452","0.00004452207241246452","0.00004452207241246452","0.000017801113651321574","0.000017801113651321574","0.000017801113651321574","0.000014551143500298904","0.000014551143500298904","0.000014551143500298904","0.000029216707926526922","0.000029216707926526922","0.000029216707926526922","0.00004291865011605326","0.00004291865011605326","0.00004291865011605326"
"1","0.0000606686680215099","0.0000606686680215099","0.0000606686680215099","0.00011306546038085384","0.00011306546038085384","0.00011306546038085384","0.0000315575898970627","0.0000315575898970627","0.0000315575898970627","0.000021501386570130567","0.000021501386570130567","0.000021501386570130567","0.0000997278035054659","0.0000997278035054659","0.0000997278035054659","0.00005336486868641381","0.00005336486868641381","0.00005336486868641381"
"2","0.00003694222360540767","0.00003694222360540767","0.00003694222360540767","0.000036911397375227605","0.000036911397375227605","0.000036911397375227605","0.0000662791932499805","0.0000662791932499805","0.0000662791932499805","0.00005792154965902755","0.00005792154965902755","0.00005792154965902755","0.000044311614792522795","0.000044311614792522795","0.000044311614792522795","0.00006097323753988132","0.00006097323753988132","0.00006097323753988132"
"3","0.00021580351049397533","0.00021580351049397533","0.00021580351049397533","0.0004795307936968265","0.0004795307936968265","0.0004795307936968265","0.0001405029751171715","0.0001405029751171715","0.0001405029751171715","0.00021471683552756152","0.00021471683552756152","0.00021471683552756152","0.000343106330928057","0.000343106330928057","0.000343106330928057","0.0003540682299082467","0.0003540682299082467","0.0003540682299082467"
"4","0.0007377627953217783","0.0007377627953217783","0.0007377627953217783","0.00033885989347306556","0.00033885989347306556","0.00033885989347306556","0.0022225849981676133","0.0022225849981676133","0.0022225849981676133","0.00024319219650020867","0.00024319219650020867","0.00024319219650020867","0.0018368819873176708","0.0018368819873176708","0.0018368819873176708","0.001275183906836512","0.001275183906836512","0.001275183906836512"
"5","0.0016470635102773586","0.0016470635102773586","0.0016470635102773586","0.0017352880969524309","0.0017352880969524309","0.0017352880969524309","0.0005386096534504025","0.0005386096534504025","0.0005386096534504025","0.0011198536276798186","0.0011198536276798186","0.0011198536276798186","0.0007639417347729959","0.0007639417347729959","0.0007639417347729959","0.006108372118354407","0.006108372118354407","0.006108372118354407"
"6","0.005304042682990855","0.005304042682990855","0.005304042682990855","0.0037308075218144316","0.0037308075218144316","0.0037308075218144316","0.0012265291690432192","0.0012265291690432192","0.0012265291690432192","0.015557591636906329","0.015557591636906329","0.015557591636906329","0.002052262281312832","0.002052262281312832","0.002052262281312832","0.0033170230536027387","0.0033170230536027387","0.0033170230536027387"
"7","0.009910338260353091","0.009910338260353091","0.009910338260353091","0.01946552133087053","0.01946552133087053","0.01946552133087053","0.01997876871204236","0.01997876871204236","0.01997876871204236","0.00773518975784075","0.00773518975784075","0.00773518975784075","0.012567544223960019","0.012567544223960019","0.012567544223960019","0.0035523343184749017","0.0035523343184749017","0.0035523343184749017"
"8","0.0016416671460470625","0.0016416671460470625","0.0016416671460470625","0.008253417199837994","0.008253417199837994","0.008253417199837994","0.005157753567758898","0.005157753567758898","0.005157753567758898","0.007371185539470764","0.007371185539470764","0.007371185539470764","0.01796416061532516","0.01796416061532516","0.01796416061532516","0.002295892389101188","0.002295892389101188","0.002295892389101188"
"9","0.023822936283399376","0.023822936283399376","0.023822936283399376","0.002029995626740854","0.002029995626740854","0.002029995626740854","0.014435847449507936","0.014435847449507936","0.014435847449507936","0.00883344728556311","0.00883344728556311","0.00883344728556311","0.005416153210791623","0.005416153210791623","0.005416153210791623","0.007673336920644083","0.007673336920644083","0.007673336920644083"
